route_id,from_station_id,to_station_id,distance_kms
EV5,50,49,13.9
EV5,49,48,5.36
EV5,48,47,4
EV5,47,51,1.3
EV5,51,46,1.5
EV5,46,45,1.5
EV5,45,44,10
EV5,44,39,1
EV2,49,48,5.36
EV2,48,47,4
EV2,47,51,1.3
EV2,51,52,5
EV2,52,53,1.5
EV2,53,54,2.8
EV2,54,55,1
EV2,55,56,2.5
EV2,56,57,0.75
EV4,49,48,5.36
EV4,48,47,4
EV4,47,51,1.3
EV4,51,46,1.5
EV4,46,45,1.5
EV4,45,44,10
EV4,44,39,1
EV4,39,38,1.1
EV4,38,37,1.3
EV3,52,102,3
EV3,102,101,1.5
EV3,101,100,1.8
EV3,100,99,1.2
EV3,99,98,2.1
EV3,98,97,0.5
EV3,97,96,3.7
EV3,96,95,0.7
EV3,95,94,2.5
EV3,94,93,1.3
EV3,93,21,1.2
EV1,58,59,6
EV1,59,54,0.5
EV1,54,55,1
EV1,55,56,2.5
EV1,56,57,0.75
EV1,57,60,0.95
EV1,60,61,0.7
EV1,61,62,1.3
EV1,62,63,1.6
EV1,63,64,1
EV1,64,65,1.6
EV1,65,66,1.3
EV1,66,67,1
EV1,67,68,1
EV1,68,69,0.9
EV1,69,70,0.4
EV1,70,71,1.2
EV1,71,72,1.2
EV1,72,73,0.8
EV1,73,74,1
EV1,74,75,0.6
EV1,75,76,2
EV1,76,77,0.7
EV1,77,78,2.1
EV1,78,79,1.5
EV1,79,80,2.4
EV1,80,81,1.3
EV1,81,82,4
R1,123,122,3.5
R1,122,121,1.5
R1,121,120,2.6
R1,120,57,0.5
R1,57,60,0.95
R1,60,61,0.7
R1,61,62,1.3
R1,62,63,1.6
R1,63,64,1
R1,64,65,1.6
R1,65,66,1.3
R1,66,67,1
R1,67,68,1
R1,68,69,0.9
R1,69,70,0.4
R1,70,71,1.2
R1,71,72,1.2
R1,72,73,0.8
R1,73,119,0.3
R1,119,118,1
R1,118,91,0.9
R1,91,117,1.5
R1,117,116,0.4
R1,116,115,0.7
R1,115,114,1.6
R1,114,29,0.4
R1,29,30,0.4
R1,30,113,4
R2,43,42,1.3
R2,42,41,0.9
R2,41,40,1.4
R2,40,39,1.8
R2,39,166,1.6
R2,166,167,0.6
R2,167,168,1
R2,168,169,0.7
R2,169,170,1.3
R2,170,97,1.6
R2,97,171,1.3
R2,171,64,0.7
R2,64,63,1
R2,63,62,1.6
R2,62,172,1.5
R2,172,173,0.5
R2,173,174,3
R2,174,175,4
R2,175,132,2
R2,132,133,0.5
R2,133,134,2
R2,134,135,2
R2,135,136,2
R2,136,137,2
R2,137,138,1
R2,138,176,0.3
R2,176,85,0.8
R3,43,42,1.3
R3,42,41,0.9
R3,41,8,0.7
R3,8,9,0.7
R3,9,10,1.2
R3,10,11,1.2
R3,11,12,1
R3,12,13,1
R3,13,14,0.9
R3,14,15,0.5
R3,15,157,0.4
R3,157,35,2
R3,35,158,2
R3,158,159,0.5
R3,159,96,1
R3,96,160,1.4
R3,160,161,0.5
R3,161,67,1
R3,67,68,1
R3,68,69,0.9
R3,69,70,0.4
R3,70,71,1.2
R3,71,72,1.2
R3,72,73,0.8
R3,73,74,1
R3,74,75,0.6
R3,75,76,2
R3,76,77,0.7
R3,77,86,0.7
R3,86,162,0.7
R3,162,163,2
R3,163,164,2
R3,164,165,0.5
R3,165,137,2.2
R4,43,42,1.3
R4,42,41,0.9
R4,41,40,1.4
R4,40,39,1.8
R4,39,38,1.1
R4,38,37,1.3
R4,37,36,1.5
R4,36,35,1.1
R4,35,34,0.3
R4,34,33,2.2
R4,33,32,0.7
R4,32,21,1.7
R4,21,22,1.5
R4,22,23,0.5
R4,23,24,0.6
R4,24,25,0.5
R4,25,26,0.3
R4,26,27,1
R4,27,28,0.8
R4,28,29,0.7
R4,29,30,0.4
R4,30,31,4
R8,29,30,0.4
R8,30,108,2.5
R8,108,107,2
R8,107,106,1.2
R8,106,109,2.2
R8,109,110,6.5
R8,110,111,2
R8,111,112,2
R9,177,178,2.5
R9,178,179,0.5
R9,179,180,3
R9,180,181,2.4
R9,181,182,3
R9,182,183,1.3
R9,183,184,1.2
R9,184,185,1
R9,185,186,0.7
R9,186,187,2
R9,187,129,2
R9,129,128,1
R9,128,127,2
R9,127,126,2
R9,126,125,1
R9,125,120,0.8
R9,120,57,0.5
R9,57,60,0.95
R9,60,61,0.7
R9,61,62,1.3
R9,62,63,1.6
R9,63,64,1
R9,64,65,1.6
R9,65,66,1.3
R9,66,67,1
R9,67,68,1
R9,68,69,0.9
R9,69,70,0.4
R9,70,71,1.2
R9,71,72,1.2
R9,72,73,0.8
R9,73,119,0.3
R9,119,118,1
R9,118,91,0.9
R9,91,117,1.5
R9,117,116,0.4
R9,116,115,0.7
R9,115,114,1.6
R9,114,29,0.4
R10,21,22,1.5
R10,22,23,0.5
R10,23,91,1.9
R10,91,90,0.7
R10,90,89,3
R10,89,88,1.6
R10,88,87,1.5
R10,87,82,1.3
R10,82,81,4
R10,81,80,1.3
R10,80,79,2.4
R10,79,78,1.5
R10,78,77,2.1
R10,77,85,4
R10,85,84,3
R10,84,83,1
R11,142,143,1
R11,143,144,1
R11,144,107,0.8
R11,107,108,2
R11,108,30,2.5
R11,30,145,1.2
R11,145,146,1.2
R11,146,147,1.5
R11,147,148,3.5
R11,148,149,1.2
R11,149,150,2
R11,150,87,1.5
R11,87,151,1.5
R11,151,152,1.5
R11,152,153,0.5
R12,124,123,5
R12,123,122,3.5
R12,122,121,1.5
R12,121,120,2.6
R12,120,125,0.8
R12,125,126,1
R12,126,127,2
R12,127,128,2
R12,128,129,1
R12,129,130,1
R12,130,131,2.5
R12,131,132,2.5
R12,132,133,0.5
R12,133,134,2
R12,134,135,2
R12,135,136,2
R12,136,137,2
R12,137,138,1
R12,138,176,0.3
R12,176,85,0.8
R12,85,77,4
R12,77,76,0.7
R12,76,75,2
R12,75,74,0.6
R12,74,73,1
R12,73,139,1.5
R12,139,140,0.5
R12,140,141,1
R13,29,30,0.4
R13,30,108,2.5
R13,108,107,2
R13,107,106,1.2
R13,106,105,0.5
R13,105,104,0.5
R13,104,103,12.5
OL,154,155,1.7
OL,155,156,1.5
OL,156,13,1.5
GL,1,2,4.7
GL,2,3,1
GL,3,4,0.8
GL,4,5,1.6
GL,5,6,1.5
GL,6,7,1
GL,7,42,2.8
GL,42,41,0.9
GL,41,8,0.7
GL,8,9,0.7
GL,9,10,1.2
GL,10,11,1.2
GL,11,12,1
GL,12,13,1
GL,13,14,0.9
GL,14,15,0.5
GL,15,16,1
GL,16,17,2
GL,17,18,0.7
GL,18,19,1.2
GL,19,20,1.2
GL,20,21,1.2
